:title_ja,:prefecture_ja,:address_ja,:description_ja,:workday_ja,:tel,:url,:genres_ja,:title_en,:prefecture_en,:address_en,:description_en,:workday_en,:genres_en,:photo_id
航空自衛隊浜松広報館,静岡県,浜松市西区西山町,日本で唯一の航空自衛隊のテーマパーク。実物の航空機や装備品などを展示。体験コーナーや、全天周シアターなどで大人から子供まで楽しむことができる。,通年,053-472-1121,http://www.mod.go.jp/asdf/airpark/,資料館・郷土館,Japan Air Self-Defense Force Hamamatsu publicity Museum,Shizuoka Prefecture,"Hamamatsu-cho, Nishi-ku, Nishiyama","The only Air Self-Defense Force of theme parks in Japan. The exhibition, etc. real aircraft and equipment. Experience and corners, I can enjoy from adults to children in such Zentenshu theater.",all year ,Museum-local Museum,
星が丘テラス,愛知県,名古屋市千種区星が丘元町１６－５０,地下鉄星ヶ丘駅から南へのびる緩やかな道沿いにある。緑に囲まれたテラス風の造りと、オープンエアな設計が魅力。EAST・WESTの建物に分かれ、計約40店舗以上が入っている。,通年,052-781-1266,http://www.hoshigaoka-terrace.com/,ショッピングモール,Hoshigaoka Terrace,Aichi Prefecture,"Chikusa-ku, Nagoya Hoshigaokamoto cho, 16-50","It is along the gradual road extending south from the subway Hoshigaoka Station. And build of terrace-style, surrounded by green, open-air design is attractive. And divided into building EAST · WEST, contains more than a total of about 40 stores.",all year ,Shopping mall,
ひがし茶屋街,石川県,金沢市東山,浅野川の岸辺に位置し、江戸時代から茶屋街として栄えてきた。格子戸の連なる町並みは格好の散策路。時折、芸妓が奏でる三味線や太鼓の音が聞こえてくる。,通年,076-220-2194,http://www.kanazawa-kankoukyoukai.gr.jp/sp_detail.php?sp_no=85,伝統的町並み・家並み,Higashi Chaya District,Ishikawa Prefecture,Kanazawa Higashiyama,"It is located on the banks of the Asano, it has prospered as Old Town from the Edo era. Walkway streets of looking continuing the grille. Occasionally, geisha come hear the sound of the shamisen and drums that play.",all year ,Traditional town-houses,
兼六園,石川県,金沢市兼六町１－４,日本三名園のひとつ。加賀藩の歴代藩主によって作庭された典型的な林泉回遊式大庭園。茶室や橋、池などが巧みに配置され、冬の雪吊りをはじめ四季折々美しい。,通年,076-234-3800,http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/index.html,庭園,Kenrokuen,Ishikawa Prefecture,Kanazawa Kenrokuen cho 1-4,"One of the Three Great Gardens of Japan. Typical Linsen stroll large garden that has been Sakuniwa by successive lord of Kaga clan. Tearoom and bridges, ponds, etc. are skillfully placed, four seasons beautiful, including the hanging of winter snow.",all year ,Garden,
徳川美術館,愛知県,名古屋市東区徳川町１０１７,昭和10（1935）年に尾張徳川家19代当主、徳川義親氏の寄贈により設立。徳川家康の遺品や道具類などを中心に1万件あまり所蔵しており、なかでも国宝の源氏物語絵巻は圧巻。,通年,052-935-6262,http://www.tokugawa-art-museum.jp/,美術館・ギャラリー,Tokugawa Art Museum,Aichi Prefecture,"Higashi-ku, Nagoya Tokugawa-cho, 1017","1935 in Owari branch 19 generations family head, founded by Tokugawa Yoshichika Mr. donated. Such as Tokugawa Ieyasu of relics and utensils have been 10,000 less holdings at the center, among them national treasure of The Tale of Genji picture scroll a masterpiece.",all year ,Museum Gallery,
アメイジングワールド　江南店,愛知県,江南市村久野町鳥附４３,家では出来ない大きな遊びを親子で楽しむ事ができる。1000坪もの広い店内にはスライダーやボールプールなどのふわふわや、抗菌砂場など遊びがいっぱい。小さなお子様専用のコーナーもある。,通年,0587-51-5715,http://www.amazingworld.jp/kounan/,遊園地,Amazing World Gangnam,Aichi Prefecture,Konan Murakunochotoritsuki 43,"It is possible to enjoy a big play that can not be at home with parents and children. 1000 also wide fluffy and such as sliders and ball pool in the store of square meters, full of play, such as antibacterial Sand. There is also a small children dedicated corner.",all year ,Amusement park,
松坂屋　名古屋店,愛知県,名古屋市中区栄３丁目１６－１,本館、北館、南館からなる売り場面積で日本最大級のデパート。パイプオルガンが置かれたスペースや美術館など、ショッピング以外の楽しみも見つけられる。,通年,052-251-1111,http://www.matsuzakaya.co.jp/nagoya/,デパート,Matsuzakaya Nagoya,Aichi Prefecture,"Naka-ku, Nagoya Sakae 3-chome 16-1","Main Building, North Building, Japan's largest department store in the sales floor area consisting of South Building. Pipe organ, such as a space and museums that have been placed, fun than shopping I found.",all year ,Department store,
徳川園,愛知県,名古屋市東区徳川町１００１,尾張徳川家の隠居所跡を利用した優美な池泉回遊式の日本庭園。園内には滝や橋、照葉樹の森などが点在。ボタンやハナショウブなど、季節の景観を楽しみながら散策できる。,通年,052-935-8988,http://www.tokugawaen.city.nagoya.jp/,その他の文化施設,Tokugawaen,Aichi Prefecture,"Higashi-ku, Nagoya Tokugawa-cho, 1001","Graceful Ikeizumi stroll of Japanese garden using the retreat trace of Owari branch. Waterfallss and bridges in the park, such as the dotted forest of evergreen. Such as buttons and iris, you can stroll while enjoying the season of landscape.",all year ,Other cultural facilities,
東谷山フルーツパーク,愛知県,名古屋市守山区上志段味東谷２１１０,世界のフルーツが勢ぞろいするユニークな公園。熱帯果樹温室やくだもの館、フィッシングコーナー、レストランなどがあり、東谷山への散策路も整備されている。シダレ桜の名所としても有名。,通年,052-736-3344,http://www.fruitpark.org/,公園・緑地,Higashitaniyama fruit Park,Aichi Prefecture,Nagoya City Moriyama-ku Kamishidami Azumaya 2110,"unique park world of fruit is studded. Tropical fruit greenhouse and fruit Museum, fishing corner, there is such as restaurants, walking path to the Higashitaniyama has also been developed. Also known as a showplace of weeping cherry tree.",all year ,Parks and nature,
名古屋市科学館,愛知県,名古屋市中区栄２丁目１７－１,物質原理を中心とする「理工館」、生命の仕組みや私たちの生活、環境に触れる「生命館」、未知の世界・宇宙をのぞく「天文館」の3館で構成される。プラネタリウムは人気。,通年,052-201-4486（団体予約専用は052-231-9771）,http://www.ncsm.city.nagoya.jp/,学習館・科学館,Nagoya City Science Museum,Aichi Prefecture,"Naka-ku, Nagoya Sakae 2-chome, 17-1","Centered on the substance principle ""Polytechnic Museum"", mechanisms and our life of life, touching the environment ""Life Museum"", composed of three Hall of ""Tenmonkan"" except for the unknown world and space. Planetarium popular.",all year ,Learning Museum and Science Museum,
名古屋市東山動植物園,愛知県,名古屋市千種区東山元町３丁目７０,広大な敷地に動、植物園がある。動物園は約500種類の動物を有する日本有数の規模を誇る。動物会館、自然動物館、メダカ館などテーマに沿った施設が並ぶ。,通年,052-782-2111,http://www.higashiyama.city.nagoya.jp,動物園,Nagoya Higashiyama Zoo and Botanical Gardens,Aichi Prefecture,"Chikusa-ku, Nagoya Higashiyamamoto cho 3-chome 70","Dough extensive grounds, there is a botanical garden. Zoo boasts the Japan one of the largest with about 500 kinds of animals. Animal hall, facilities lined along the natural animal museum, such as medaka Pavilion theme.",all year ,Zoo,
堀内公園,愛知県,安城市堀内町安下１－１,色とりどりの花や緑にあふれた園内には、サイクルモノレールやバッテリーカー、メリーゴーラウンドなど、家族そろって楽しめる乗りものが充実している。,通年,0566-99-5947,http://www.katch.ne.jp/~aichswim-hp/,公園・緑地,Horiuchi park,Aichi Prefecture,"Anjo Horiuchi cho, depreciation under 1-1","The park was full of colorful flowers and green, cycle monorail and battery car, such as the merry-go-round, what ride to enjoy the whole family has been enhanced.",all year ,Parks and nature,
やきもの散歩道,愛知県,常滑市栄町,赤レンガの煙突を見おろす高台の入り組んだ細い路地は、古い窯元が集中し常滑焼の土の香りを身近に感じることができる。散歩道はAとBの2種類がある。,通年,0569-34-8888,http://www.tokoname-kankou.net/contents/miru01-01.html,遊歩道,Pottery promenade,Aichi Prefecture,Tokoname Sakaemachi,"Narrow alley intricate of a hill overlooking the chimney of red brick, can feel familiar scent of old pottery is concentrated Tokoname of soil. Promenade there are two types of A and B.",all year ,Promenade,
ＩＰＣわんわん動物園,愛知県,岡崎市大平町川田４６－１,世界の名犬・珍犬を集めた犬のテーマパーク。犬たちが世界の名作や時代劇を演じるワンワン劇場やフライングディスクステージ、ドッグレース、ふれあいコーナーなどがある。,通年,0564-26-3884,http://www.ipcnet.co.jp/wwzoo/wwzweb/index.html,動物園,IPC Doggie Zoo,Aichi Prefecture,Okazaki Ohira Kawada 46-1,"Dog theme park a collection of famous dog Chin dog in the world. Doggy theater and flying disk stage dogs play a masterpiece and period drama of the world, dog racing, some, such as petting corner.",all year ,Zoo,
イオンモール木曽川,愛知県,一宮市木曽川町黒田南八ツケ池２５－１,木曽川に隣接する巨大ショッピングセンター。専門店や映画館、スーパーマーケットやフードコートなどがそろい、吹き抜けの施設内は歩いているだけでも楽しめる。,通年,0586-84-2800,http://kisogawa-aeonmall.com/,ショッピングモール,Aeon Mall Kiso,Aichi Prefecture,Ichinomiya Kisogawa Kurodaminamihachi & hold pond 25-1,"Huge shopping center adjacent to the Kiso River. Specialty shops, cinemas, supermarkets and food court, etc. aligned, within the facilities of the stairwell I enjoy just walking.",all year ,Shopping mall,
愛知県美術館,愛知県,名古屋市東区東桜１丁目１３－２　愛知芸術文化センター内,高層ビルの8階から10階を占める都市型美術館。おもに20世紀の作品を収集。ピカソ、クリムト、クレー、ミロや高橋由一、安井曾太郎、横山大観など、巨匠の作品が並ぶ。,通年,052-971-5511,http://www-art.aac.pref.aichi.jp,美術館・ギャラリー,Aichi Prefectural Museum of Art,Aichi Prefecture,"Higashi-ku, Nagoya Higashisakura 1-chome 13-2 Aichi Arts Center in","Urban museum that occupies the 10th floor from the eighth floor of a high-rise building. Mainly to collect the works of the 20th century. Picasso, Klimt, clay, Yuichi Miro and Takahashi, Sōtarō Yasui, such as Taikan Yokoyama, the works of masters lined.",all year ,Museum Gallery,
愛知県陶磁美術館,愛知県,瀬戸市南山口町２３４,指導を受けながら自由に作陶を楽しめる。展示内容も縄文式土器から近・現代陶芸、産業陶磁まで幅広い。,通年,0561-84-7474,http://www.pref.aichi.jp/touji,美術館・ギャラリー,Aichi Prefectural Ceramic Museum,Aichi Prefecture,"Seto Minamiyamaguchi-cho, 234","While receiving guidance freely enjoy throwing. Exhibits also modern and contemporary ceramics from Jomon pottery, a wide range of up to industry ceramics.",all year ,Museum Gallery,
東山スカイタワー,愛知県,名古屋市千種区田代町瓶杁１－８,名古屋市制100周年を記念して建てられた高さ134mのタワー。晴れた日は展望室から鈴鹿山脈からアルプス連峰まで見渡せる。最上階のスカイレストランがおすすめ。,通年,052-781-5586,http://www.higashiyamaskytower.jp/,タワー,Higashiyama Sky Tower,Aichi Prefecture,"Chikusa-ku, Nagoya Tashirochokameiri 1-8","Tower height 134m, which was built to commemorate the Nagoya municipal organization 100th anniversary. a sunny day overlooking from the observation room to the Alps mountain range from Suzuka Mountains. Recommend the top floor of the Sky Restaurant.",all year ,Tower,
新美南吉記念館,愛知県,半田市岩滑西町１丁目１０－１,半田出身の童話作家、新美南吉の直筆原稿や手紙などを展示。その生涯や文学活動を紹介する。9月下旬には、記念館北側の矢勝川に200万本の彼岸花が咲き乱れる。,通年,0569-26-4888,http://www.nankichi.gr.jp/,資料館・郷土館,Nankichi Niimi Memorial,Aichi Prefecture,Handa Yanabenishi cho 1-chome 10-1,"Solder born of fairy tale writer, and exhibition etc. autograph manuscripts and letters of Nankichi Niimi. I will introduce the life and literary activity. In late September, blooming 200 million bottles of amaryllis in arrow of Memorial north Katsukawa.",all year ,Museum-local Museum,
庄内緑地,愛知県,名古屋市西区山田町上小田井敷地３５２７,庄内川の遊水地に広がる水と緑と太陽をテーマに整備された総合公園。園内にはバラ園、ショウブ園などがあり、散歩やサイクリングを楽しむ人々で賑わっている。,通年,052-503-1010,http://www.nga.or.jp/,公園・緑地,Shōnai Greens,Aichi Prefecture,Nishi-ku Nagoya Yamada-machiue Odai site 3527,"Comprehensive park that has been in place on the theme of water and green and the sun spread basins of Shonai. Rose garden in the park, there is such as iris garden, it is crowded with people who enjoy the walks and cycling.",all year ,Parks and nature,
高山陣屋,岐阜県,高山市八軒町１丁目５,徳川幕府の陣屋（役所・役宅・米蔵など）が、ほぼ完全な形（復元も含め）で残されている。全国に唯一現存する陣屋で、国史跡指定となっている。,通年,0577-32-0643,http://www.pref.gifu.lg.jp/kyoiku-bunka-sports/shakaikyoiku/kankeikikan/takayama-jinya/,歴史的建造物,Takayama Jinya,Gifu Prefecture,Takayama Hachi-ken cho 1-chome 5,"Tokugawa shogunate of Jinya (such as bureaucracy, Yakutaku-rice granary) have been left in almost perfect shape (restoration including). The only existing Jinya nationwide, it has become a country historic site designation.",all year ,Historic monuments,
メナード美術館,愛知県,小牧市小牧５丁目２５０,メナード化粧品の創業者夫妻が中心となり収集した美術品を展示。マネやゴッホ、ピカソはじめ、横山大観、岸田劉生、舟越佳など、近・現代の洋画・日本画・彫刻・工芸品などを収蔵している。,通年,0568-75-5787,http://museum.menard.co.jp,美術館・ギャラリー,Menard Museum,Aichi Prefecture,"Komaki Komaki 5-chome, 250","The exhibition the art that founder and his wife of Menard cosmetics has collected a central role. Manet and Van Gogh, Picasso began, Taikan Yokoyama, Kishida Ryusei, such as Kei Funakoshi, I have a collection of over such modern and contemporary of Movie-Japanese paintings, sculpture, crafts.",all year ,Museum Gallery,
禄剛埼灯台,石川県,珠洲市狼煙町イ－５１,能登半島最北端の岬に立つ。イギリス人の設計で明治16（1883）年に建てられた白亜の灯台。「日本の灯台50選」にも選ばれた、海からの朝日・夕陽が同じ場所で見られることで有名。,通年,0767-53-7118,,灯台,RokuTsuyoshi Lighthouse,Ishikawa Prefecture,"Suzu Signal Fire-cho, Yi -51","I stand on the Noto Peninsula northernmost cape. Meiji 16 (1883) chalk lighthouse was built in the year in the British design. Was also selected to the ""Japanese lighthouse 50 election"", famous for the Asahi-Sunset from the sea can be seen in the same place.",all year ,Lighthouse,
田原市蔵王山展望台,愛知県,田原市浦町蔵王１－４６,蔵王山山頂に建ち、展望室からは三河湾、太平洋、渥美半島を一望。360度の大パノラマを満喫できる。空気の澄んだ日には、遠く日本アルプスや富士山までが見渡せる。,通年,0531-22-0426,http://www.tahara-tmo.com/zaosan,展望台・展望地,Tahara Zao observatory,Aichi Prefecture,Tahara Shiura cho Zao 1-46,"Zao situated on the summit, from the observation room Mikawa Bay, Pacific Ocean, and overlooking the Atsumi Peninsula. I can enjoy a large panorama of 360 degrees. On the day of clear of air, overlooking until Japan Alps and Mount Fuji far.",all year ,Observatory and Prospects land,
Ｃｅｎｔｒａｌ　Ｐａｒｋ,愛知県,名古屋市中区錦３丁目１５－１３先,栄駅から久屋大通駅にかけて広がる地下街。ファッションを中心に雑貨、サロンなどバラエティー豊かな店舗がそろう。オシャレなカフェから和・洋の人気店まで飲食店も充実。,通年,052-961-6111,http://www.centralpark.co.jp,地下街,Central Park,Aichi Prefecture,"Medium-ku, Nagoya Nishiki 3-chome 15-13 destination","Underground mall spread over the Hisaya Odori Station from Sakae Station. Miscellaneous goods, the salons and variety rich store aligned around a fashion. Other dining options enhance from trendy cafes to popular restaurant of Japanese, Western.",all year ,Underground shopping center,
御清水,福井県,大野市泉町,名水百選に選ばれた「御清水」は、かつて城主の飯米をとぐ（炊く）のに利用されていた。今も地元の人たちの社交場になっている。,通年,0779-66-1111,http://www.city.ono.fukui.jp/kanko/index.html,名水,Oshimizu,Fukui Prefecture,"Ono City Izumi-cho,","Was chosen as the best waters hundred election ""Oshimizu"" had been once use the Hanmai of castle and sharpen to (cook). Even now it is the watering hole of local people.",all year ,Famous water,
丸栄百貨店名古屋本館,愛知県,名古屋市中区栄３丁目３－１,若い女性に人気のトレンドファッションから、ミセス向けの落ち着いたファッションまで多面的に商品をラインナップ。地下の食品売場は新鮮でお値打ちな生鮮食品が評判だ。,通年,052-264-1211,http://www.maruei.ne.jp/,デパート,MARUEI department store Nagoya main building,Aichi Prefecture,"Naka-ku, Nagoya Sakae 3-chome 3-1","From the popular trend fashion young women, multi-faceted lineup of products to fashion calm for Mrs.. Underground of food department's fresh and good value for fresh food reputation.",all year ,Department store,
津島神社,愛知県,津島市神明町１,疫病災難除け、授福の神・須佐之男命をまつる全国天王社の総本社。尾張三英傑の崇敬を受け本殿は松平忠吉の妻女政子の、楼門は豊臣秀吉の、南門はその子・秀頼の寄進といわれる。,通年,0567-26-3216,http://tsushimajinja.or.jp/,神社（稲荷・権現）,Tsushima Shrine,Aichi Prefecture,Tsushima City Shinmei-cho 1,"Except plague calamity, Headquarters of the National Tenno company dedicated to Otokoinochi Noriyuki god Susa of beatification. Main shrine received the adoration of Owari three Yingjie of Tadayoshi Matsudaira Saijo Masako of, tower gate of Hideyoshi Toyotomi, South Gate is said and donated its co-Hideyori.",all year ,Shrine (Inari Gongen),
豊田スタジアム,愛知県,豊田市千石町７丁目２,最大収容人数4万5千人の球技専用スタジアム。最大斜度38度の観客席、開閉式屋根、可動式大型スクリーンなど、サッカーだけでなく多目的に使える最新の設備がある。,通年,0565-87-5200,http://www.toyota-stadium.co.jp/,その他の名所,Toyota Stadium,Aichi Prefecture,"Toyota City Sengoku-cho, 7-chome 2","Max persons 40 005 thousand people of ball game dedicated stadium. Maximum slope angle of 38 degrees of audience seats, retractable roof, such as movable large screen, there is a state-of-the-art facilities that can be used in multi-purpose not only in football.",all year ,Other Points of Interest,
杉本美術館,愛知県,知多郡美浜町美浜緑苑１丁目１２－１,洋画家、杉本健吉画伯の初期から晩年まで、80年あまりにわたる作品約9700点を収蔵している。小説「新・平家物語」の挿絵屏風や、陶芸や木工などの立体作品も多い。,通年,0569-88-5171,,美術館・ギャラリー,Sugimoto Museum,Aichi Prefecture,Chita-gun Mihama Mihamaryokuen 1-chome 12-1,"Oil painter, from early Sugimoto Kenkichi painter until his later years, you have a collection of over work about 9700 points over the too much in '80. Illustrations folding screen and the novel ""Shin Heike Monogatari"", often three-dimensional works such as pottery and woodworking.",all year ,Museum Gallery,
ぬくもりの森,静岡県,浜松市西区和地町２９４９,雑貨店やケーキショップ、フレンチレストラン（ディナーは要予約）、ギャラリーなどが点在する緑豊かな複合施設。曲線を描く建物の壁、土色の瓦が可愛らしい屋根など、園内はまるで絵本の世界。,通年,053-486-1723,http://www.nukumori.jp,複合施設,Forest of warmth,Shizuoka Prefecture,"Hamamatsu-cho, Nishi-ku, Wa-chi 2949","Grocery stores and cake shop, French restaurant (dinner reservations required), lush complex facilities such as galleries scattered. Wall of the building to draw a curve, tile of sallow is lovely roof, such as the park is of like a picture book world.",all year ,Complex,
奥殿陣屋,愛知県,岡崎市奥殿町雑谷下１０,岡崎市村積山自然公園、花園の里にある。松平家親藩の奥殿松平家4代乗真の時、奥殿に陣屋を移して奥殿藩が誕生した。郷土の偉人、大給恒をはじめ藩ゆかりの資料を常設展示。,通年,0564-45-7230,,資料館・郷土館,Okutono Jinya,Aichi Prefecture,"Okazaki Okutono cho, miscellaneous Yashita 10","Okazaki village Tsumu-san nature park, is in the village of Garden. When Okutono Matsudaira family 4 Dainoshin of Matsudaira house Simpang, Okutono Domain was born and transferred the Jinya to Okutono. Local greats, the permanent exhibition at the beginning clan Yukari the article in the Matsudaira Norikata.",all year ,Museum-local Museum,
おかげ横丁,三重県,伊勢市宇治中之切町５２,江戸期から明治期の伊勢路の町並みを移築・再現した「おかげ横丁」。約50店舗からなる町には老舗の味名産、歴史、風習、人情などが凝縮されている。季節ごとに「まつり」や「市」を開催。,通年,0596-23-8838,http://www.okageyokocho.co.jp/,伝統的町並み・家並み,Thanks Alley,Mie Prefecture,"Ise Ujinakanokiri-cho, 52","Were relocated and reproducing the streets of Iseji of the Meiji period from the Edo Period ""Thanks Alley"". Taste specialty of the town consists of about 50 stores a long-established, history, customs, and the like have been condensed humanity. And held the ""Festival"" and ""city"" in every season.",all year ,Traditional town-houses,
伊勢神宮・外宮,三重県,伊勢市豊川町２７９,衣食住、産業を守護する豊受大神が御祭神。高倉山麓の神域には大杉などに囲まれた唯一神明造りの御正殿や多賀宮などの宮が立ち並ぶ。20年に一度式年遷宮が行われる。,通年,0596-24-1111,http://www.isejingu.or.jp/,神社（稲荷・権現）,Ise-Geku,Mie Prefecture,"Ise Toyokawa-cho, 279","Food, clothing and shelter, to protect the industry rich 受大 God your deity. The temple, such as your main hall and temple Taga only Shinmei building is surrounded by such Osugi lined in Takakura foot of sanctuary. '20 Once Shikinen Sengu is performed.",all year ,Shrine (Inari Gongen),
丈山苑,愛知県,安城市和泉町中本郷１８０－１,大坂夏の陣で徳川家康に従って石川丈山が没するまで住んだ詩仙堂を、生誕地の和泉に再現。「詩泉閣」と名付けられた苑内の建物には直筆の書画などを配置。,通年,0566-92-7780,,庭園,Jozansono,Aichi Prefecture,Hongo middle Anjo Izumi-cho 180-1,"The Osaka Shisen-dō lived until his death is Jozan Ishikawa according to Tokugawa Ieyasu in the summer of Jin, reproduced in the birthplace Izumi. Place such as autograph document the building within the named ""poetry Izumi Pavilion"".",all year ,Garden,
三河工芸ガラス美術館,愛知県,西尾市富山町東郷５,巨大万華鏡や、彫刻鏡の部屋などがある不思議体験型ミュージアム。万華鏡やステンドグラスの工芸が体験できる。ガラス製品のショップもあり、オーダーメイドも可。,通年,0563-59-3334,http://www.japan-net.ne.jp/~artglass/,美術館・ギャラリー,Mikawa crafts Glass Museum,Aichi Prefecture,Togo Nishio City Tomiyama 5,"Giant kaleidoscope and, wonder interactive museum that there is such as sculpture mirror room. Crafts of kaleidoscope and stained glass can experience. There is also a shop of glass products, made-to-order is also available.",all year ,Museum Gallery,
岡崎駒立ぶどう狩り,愛知県,岡崎市駒立町,7ヵ所のぶどう園からなる駒立ぶどう園。山遊び、プール、川遊びなど自然とふれあいながら一日遊べる遊具も設置。イベントや体験・講習会も開催。,7月20日～10月10日,0564-45-5151,http://www.nande.com/coma-grape,観光農園・農場,Okazaki Komadachi grapes hunting,Aichi Prefecture,Okazaki Komadachi cho,"Komadachi vineyards which consists of seven locations vineyards. Yamaasobi, pool, also toys that play day with petting with nature such as swim in a river installation. Events and experiences, workshops also held.",,Tourist Farm-Farmhouse,
のとじま水族館,石川県,七尾市能登島曲町１５－４０,近海の魚を中心に約500種4万点におよぶ生き物を展示。「ジンベエザメ館 青の世界」やトンネル水槽「イルカたちの楽園」やイルカとのふれあいプールなど体験型水族館として楽しめる。,通年,0767-84-1271,http://www.notoaqua.jp/,水族館,Notojimasuizokukan,Ishikawa Prefecture,"Nanao Notojima song-cho, 15-40","The exhibition creatures ranging from about 500 species 40 000 points around the waters of fish. I enjoy as a hands-on aquarium, such as petting pool of the ""whale shark museum blue of the world"" and tunnel aquarium ""dolphins of paradise"" and dolphins.",all year ,Aquarium,
世界淡水魚園水族館　アクア・トトぎふ,岐阜県,各務原市川島笠田町１４５３　河川環境楽園内,長良川の源流から河口まで、さらに世界の川の自然環境を再現した淡水魚水族館。約260種、2万8500点の生物を展示し、淡水魚水族館としては世界最大級。音や光の演出も楽しい。,通年,0586-89-8200,http://aquatotto.com/,水族館,World freshwater fish Aquarium Aqua Totogifu,Gifu Prefecture,"Kakamigahara Kawashima Kasada cho, 1453 in the river environment paradise","From the headwaters of the Nagara River to mouth, further reproduction of freshwater fish aquarium the river of the natural environment of the world. About 260 species, showcasing of 28 500 points organisms, the world's largest freshwater fish aquarium as. Production of sound and light fun.",all year ,Aquarium,
金沢城公園,石川県,金沢市丸の内,前田家の居城金沢城跡。公園として整備された。重要文化財の石川門と三十間長屋、鶴丸倉庫、平成13（2001）年に復元された菱櫓・五十間長屋・橋爪門続櫓などがある。,通年,076-234-3800,http://www.pref.ishikawa.jp/siro-niwa/kanazawajou/index.html,城址,Kanazawa Castle Park,Ishikawa Prefecture,Kanazawa Marunouchi,"Maeda family residence Kanazawa Castle. Was been developed as a park. Ishikawa Gate and thirty between the tenement of important cultural property, Tsurumaru warehouse, there is such as 2001 (2001) Hishiyagura-fifty between the tenement-Hashizume gate connection tower that has been restored to the year.",all year ,Site of an ancient castle,
瀧谷寺,福井県,坂井市三国町滝谷１丁目７－１５,永和元（1375）年創建の真言宗智山派の古刹で、紀州根来寺の学僧・睿憲の開基と伝わる。宝物殿には国宝の金銅毛彫宝相華文磬や重要文化財が収蔵、一部が展示されている。,通年,0776-82-0216,http://www.takidanji.or.jp/,寺院（観音・不動）,Sokokuji,Fukui Prefecture,Sakai Mikuni Takidani 1-chome 7-15,"In ancient temple of Yonghe source (1375) of the year foundation Shingon-shū Chizan-ha, it is transmitted to the open group of scholar monk-睿憲 of Kishu Negoro-ji. Gilt bronze hair Hotakara phase Hanabun Kaoru and important cultural property of national treasure is collection in the Treasury, some of which are on display.",all year ,Temple (Goddess of Mercy-motionless),
越前そばの里,福井県,越前市真柄町７－３７,そばの魅力を体感できる人気スポット。「そば道場」では、誰でも手軽にそば打ち体験が楽しめる。スタッフの先生がポイントやコツを丁寧にアドバイスしてくれるから、初心者でも安心。,通年,0778-21-0272,http://www.echizensoba.co.jp/,その他の体験施設,Village of buckwheat Echizen,Fukui Prefecture,Echizen Magara cho 7-37,"Popular spot that you can experience the charm of buckwheat. In ""buckwheat dojo"", can enjoy anyone easily soba experience. Because staff of teachers willing to carefully advice points and tips, and peace of mind even for beginners.",all year ,Other experience facility,
久能山東照宮,静岡県,静岡市駿河区根古屋３９０,元和2（1616）年徳川家康公の遺言により2代将軍・徳川秀忠公が創建。権現造、総漆塗りの国宝社殿と他13の建造物は国の重要文化財。平成17（2005）年の総塗り替えで美しく蘇った。,通年,054-237-2438,http://www.toshogu.or.jp/,神社（稲荷・権現）,Kunōzan Tōshō-gū,Shizuoka Prefecture,Shizuoka Suruga-ku Negoya 390,"1616 by the will of Tokugawa Ieyasu 2 Daishogun Tokugawa Hidetada Duke foundation. Ishi-no-ma-zukuri, building of national treasure shrine and other 13 of the total lacquered countries of important cultural property. 2005 (2005) I was revived beautifully with a total repainting of year.",all year ,Shrine (Inari Gongen),
中日劇場,愛知県,名古屋市中区栄４丁目１－１　中日ビル　９階,中日ビル9Fにある劇場。1440席の客席はゆったりとしていて、どの席からも見やすいと定評がある。ミュージカルから歌舞伎まで、ありとあらゆる演劇に利用されている。,通年,052-263-7171（予約センター0571-55-0881）,http://www.chunichi-theatre.com,劇場,Sino-Japanese theater,Aichi Prefecture,"Naka-ku, Nagoya Sakae 4-chome 1-1 Chunichi Building 9th floor","Theater in the Sino-Japanese building 9F. The audience of 1440 seats have spacious, it is easy and have a reputation seen from any seat. From musical to Kabuki, it is used in all kinds of theater.",all year ,Theater,
高浜市やきものの里かわら美術館,愛知県,高浜市青木町９丁目６－１８,高浜市の特産物である瓦を美術的に鑑賞するとともに、絵本、平和、やきものなどの展覧会を開催し、幅広い芸術文化を提唱する美術館。陶芸創作室や高浜の産業・文化を紹介するシアターもある。,通年,0566-52-3366,http://www.takahama-kawara-museum.com/,美術館・ギャラリー,Village tile Museum of Takahama pottery,Aichi Prefecture,"Takahama Aoki-cho, 9-chome 6-18","Museum tile along with to appreciate the artistic is a special product of Takahama, which was held picture book, peace, exhibitions, such as pottery, proposed a wide range of arts and culture. Some theater to introduce the pottery creations rooms and Takahama industry and culture.",all year ,Museum Gallery,
ミキモト真珠島,三重県,鳥羽市鳥羽１丁目７－１,世界初真珠養殖に成功した島。真珠の出来る仕組みや真珠をふんだんに使用した美術工芸品を展示する真珠博物館、御木本幸吉記念館、パールショップもある。磯着を着た海女の潜水実演も見られる。,通年,0599-25-2028,http://www.mikimoto-pearl-museum.co.jp/,その他の文化施設,Mikimoto Pearl Island,Mie Prefecture,Toba Toba 1-chome 7-1,"Successful island in the world's first pearl farming. Pearl Museum, Mikimoto Kokichi Memorial to showcase the arts and crafts that were abundantly use the mechanism and pearls that can pearl, there is also a pearl shop. Diving demonstration of Ama wearing iso clothes also I seen.",all year ,Other cultural facilities,
